id,"datetime",lat,lon,"train_number","next_station","delay","vehicle_type","vehicle_type_abbr","destination"
202103,"1537538368000",52.0171183333,4.67930333333,"8658","Waddinxveen Triangel","PT0S","Sprinter","SPR","Alphen a/d Rijn"
202106,"1537538375000",52.00932,5.772275,"3061","Arnhem Centraal","PT5M","Intercity","IC","Nijmegen"
202107,"1537538371000",52.312244040382,5.0438107604079,"15863","Weesp","PT0S","Sprinter","SPR","Amersfoort Vathorst"
202109,"1537538375000",52.15406,4.46536166667,"302456","Leiden Centraal","PT0S","Intercity","IC","Lelystad Centrum"
202111,"1537538373000",52.1528846667,5.35999116667,"563","Amersfoort","PT0S","Intercity","IC","Groningen"
202112,"1537538372000",52.360528618014,4.931868555702,"14665","Amsterdam Science Park","PT0S","Sprinter","SPR","Zwolle"
202115,"1537538378000",51.851922,5.25795416667,"3963","Roermond","PT0S","Intercity","IC","Heerlen"
202122,"1537538369000",52.678199435177,4.9072954039951,"6371","Heemstede-Aerdenhout","PT0S","Sprinter","SPR","Den Haag Centraal"
202123,"1537538368000",51.941516240726,4.4763503483425,"4062","Rotterdam Noord","PT0S","Sprinter","SPR","Uitgeest"
202124,"1537538373000",51.986404791918,5.9397941796313,"7661","Arnhem Presikhaaf","PT0S","Sprinter","SPR","Zutphen"
202125,"1537538376000",52.153942498484,5.000673537335,"7365","Maarssen","PT0S","Sprinter","SPR","Rhenen"
202130,"1537538378000",53.20506,6.58534833333,"8155","Groningen Europapark","PT0S","Sprinter","SPR","Groningen"
202135,"1537538375000",52.387938023617,5.2702630695629,"14660","Almere Parkwijk","PT0S","Sprinter","SPR","Amsterdam Centraal"
202136,"1537538376000",52.388967027304,4.8384377545423,"5454","Amsterdam Sloterdijk","PT0S","Sprinter","SPR","Amsterdam Centraal"
202137,"1537538369000",51.99559380047,4.6485954571646,"7767","Nieuwerkerk a/d IJssel","PT0S","Sprinter","SPR","Gouda Goverwelle"
202138,"1537538374000",52.3837216667,4.88778833333,"867","Amsterdam Centraal","PT0S","Intercity","IC","Maastricht"
202139,"1537538373000",52.218123909932,4.5308334861783,"3360","Sassenheim","PT0S","Sprinter","SPR","Hoorn Kersenboogerd"
202140,"1537538375000",51.8461156667,5.25667433333,"3962","Utrecht Centraal","PT0S","Intercity","IC","Enkhuizen"
202141,"1537538376000",51.583904,4.924918,"6661","Gilze-Rijen","PT0S","Sprinter","SPR","Dordrecht"
202143,"1537538375000",52.0651516667,5.25017166667,"3060","Heiloo","PT0S","Intercity","IC","Den Helder"
202144,"1537538371000",52.062522404772,4.3115372961234,"5158","Den Haag HS","PT0S","Sprinter","SPR","Den Haag Centraal"
202145,"1537538372000",52.061392203733,5.1481203919044,"6965","Houten","PT0S","Sprinter","SPR","'s-Hertogenbosch"
202148,"1537538376000",52.22665477796,5.1814652785989,"5763","Hilversum","PT0S","Sprinter","SPR","Utrecht Centraal"
202150,"1537538368000",52.460139105682,4.8056089388382,"4056","Koog aan de Zaan","PT0S","Sprinter","SPR","Uitgeest"
202153,"1537538377000",51.5098238333,5.38964916667,"5259","Best","PT0S","Sprinter","SPR","Weert"
202155,"1537538369000",52.067417578669,4.3569523206679,"6867","Voorburg","PT0S","Sprinter","SPR","Gouda Goverwelle"
202157,"1537538371000",52.100446128505,5.0413079743228,"6160","Vleuten","PT0S","Sprinter","SPR","Woerden"
202165,"1537538371000",52.308646439617,4.950580863576,"7458","Amsterdam Bijlmer ArenA","PT0S","Sprinter","SPR","Uitgeest"
202168,"1537538368000",52.292046457707,5.1033574962671,"15860","Weesp","PT0S","Sprinter","SPR","Amsterdam Centraal"
202170,"1537538373000",51.4329398333,4.11804616667,"2273","Rilland-Bath","PT0S","Intercity","IC","Amsterdam Centraal"
